a ma tơ
múa rối nước
măng đô lin
mĩ nghệ phẩm
mĩ nhân kế
mĩ từ pháp
mũ biên phòng
mũ bình thiên
mũ bảo hiểm
mũ bịt tai
mũ chào mào
mũ cánh chuồn
mũ lưỡi trai
mũ tai bèo
mưa bóng mây
mướt mồ hôi
mạch tích hợp
mạng cục bộ
mạng diện rộng
mạng toàn cục
mạnh thường quân
mất công toi
mẫu số chung
mận tam hoa
mập ú ù
mậu dịch viên
mắt bồ câu
mặt chữ điền
mặt trái xoan
mặt tròn xoay
mặt đối mặt
mẹ đỡ đầu
mỏng dinh dính
mốc hoa cau
mồ hôi muối
mộng âm dương
một lá mầm
một trăm rưởi
mỡ cơm xôi
mục sở thị
mục đích luận
mỹ nghệ phẩm
mỹ nhân kế
mỹ từ pháp
nam bán cầu
nam cực quyền
nam sài hồ
ngang cành bứa
ngay cán tàn
ngay lập tức
ngay tắp lự
ngay tức khắc
ngay tức thì
nghiên cứu sinh
nghiên cứu viên
nghèo xác xơ
nghề tự do
nghị định thư
ngoại giao đoàn
ngoại tệ mạnh
nguyên liệu chính
nguyên lão viện
nguyên tử số
nguyên vật liệu
nguyên động lực
ngân bản vị
ngã đồng kềnh
ngói âm dương
ngón áp út
ngôn ngữ học
ngôn ngữ máy
ngũ gia bì
người bị hại
người phát ngôn
người quản lí
người quản lý
ngẩn tò te
ngậm bồ hòn
ngậm hột thị
ngắn tun hủn
ngặt một nỗi
ngọc lan tây
ngồi bó giò
ngồi bó gối
ngồi chồm hổm
ngồi chồm hỗm
ngồi dãi thẻ
ngồi xếp bằng
ngữ nghĩa học
ngữ ngôn học
ngữ pháp học
ngữ âm học
ngự sử đài
ngựa bất kham
ngựa phản chủ
nhanh nhảu đoảng
nhanh nhẩu đoảng
nhiễm sắc thể
nhiệt hoá học
nhiệt lượng kế
nhiệt động học
nhiệt đới hoá
nhu yếu phẩm
nhà bán lẻ
nhà bảo sanh
nhà chuyên môn
nhà chăn nuôi
nhà chế tạo
nhà chọc trời
nhà chức trách
nhà cung cấp
nhà doanh nghiệp
nhà dàn cảnh
nhà dây thép
nhà giả kim
nhà hành chính
nhà hảo tâm
nhà hộ sinh
nhà khoa học
nhà khảo cổ
nhà kinh doanh
nhà kinh tế
nhà lãnh đạo
nhà lập trình
nhà máy điện
nhà mô phạm
nhà nghiên cứu
nhà phát minh
nhà phát triển
nhà phân phối
nhà phân tích
nhà quản lý
nhà sáng lập
nhà sản xuất
nhà sử học
nhà thi đấu
nhà thiết kế
nhà thí nghiệm
nhà trừng giới
nhà tu kín
nhà tài trợ
nhà tình báo
nhà tình nghĩa
nhà tư tưởng
nhà tư vấn
nhà tạo mẫu
nhà tập thể
nhà tổ chức
nhà văn hoá
nhà vật lý
nhà vệ sinh
nhà xuất bản
nhà điều dưỡng
nhà điều hành
nhà đương chức
nhà đương cục
nhà đầu tư
nhà ổ chuột
nhân chủng học
nhân cách hoá
nhân dân tệ
nhân khẩu học
nhân loại học
nhân sinh quan
nhân trắc học
như thế nào
nhạc thính phòng
nhạc tài tử
nhạc điện tử
nhạc đồng quê
nhảy chân sáo
nhảy cà tưng
nhảy cà tửng
nhất nguyên luận
nhất thần giáo
nhất thần luận
nhất thể hoá
nhất viện chế
nhận thức luận
nhẵn thin thín
nhị nguyên luận
nhị viện chế
nhọ mặt người
nuôi báo cô
nín thin thít
nói bóng gió
nói cho phải
nói gì đến
nói thánh tướng
nói thì nói
nói trắng ra
nói trống không
nói trộm bóng
nói trộm vía
nói tóm lại
nói vuốt đuôi
nói đúng ra
nón ba tầm
nón bài thơ
nón bảo hiểm
nón quai thao
nón tu lờ
nóng hôi hổi
nông choèn choẹt
nông lâm sản
nông sản phẩm
nông trang viên
năm dương lịch
năm ánh sáng
năm âm lịch
nước chè hai
nước gội đầu
nước mắm nhỉ
nước rửa bát
nẫng tay trên
nắm đằng chuôi
nắng xiên khoai
nặng trình trịch
nến đánh lửa
nồi cơm điện
nồi áp suất
nổi tam bành
nổi đình đám
nội tiết tố
nội địa hoá
nửa chừng xuân
nửa thành phẩm
nữ anh hùng
ong bò vẽ
ong bắp cày
ong vò vẽ
phi chính phủ
phi hành gia
phi hành đoàn
phi vô sản
phim con heo
phim hoạt hoạ
phim hoạt hình
phim thời sự
phim truyền hình
phim tài liệu
phim điện ảnh
phim đèn chiếu
phiếm thần luận
phong cách học
phong vũ biểu
pháo cao xạ
pháo phòng không
pháo thăng thiên
pháo tự hành
pháo đài bay
phát ngôn viên
phát thanh viên
phân hoá học
phân hữu cơ
phân loại học
phân tâm học
phân vi lượng
phân vi sinh
phân vô cơ
phéc mơ tuya
phép biện chứng
phép hài thanh
phép kéo theo
phép siêu hình
phép thông công
phép đối xứng
phòng khánh tiết
phòng thí nghiệm
phòng thường trực
phó bí thư
phó chủ khảo
phó giáo sư
phó lãnh sự
phó thường dân
phó tiến sĩ
phó văn phòng
phôi sinh học
phương diện quân
phương pháp luận
phường bát âm
phải cái tội
phải tội mà
phải vạ mà
phản cách mạng
phản giáo dục
phản khoa học
phản thí dụ
phản tuyên truyền
phản tác dụng
phản ánh luận
phẫu thuật viên
phỏng sinh học
phối kết hợp
phục vụ bàn
quan phụ mẫu
quan sát viên
quan trắc viên
quan trọng hoá
qui hoạch vùng
quy hoạch vùng
quyết chiến điểm
quyết tâm thư
quyết định luận
quyền công dân
quyền sở hữu
quyền tác giả
quá đi chứ
quân bản bộ
quân dân chính
quân tình nguyện
quân y sĩ
quân y viện
quê một cục
quĩ tiết kiệm
quĩ tín dụng
quạt con cóc
quạt tai voi
quạt thông gió
quạt treo tường
quất hồng bì
quần lá toạ
quần xà lỏn
quần đông xuân
quắt quằn quặt
quẻ âm dương
quốc hữu hoá
quốc sử quán
quốc tế ca
quốc tế hoá
quốc tế ngữ
quốc vụ khanh
quỹ tiết kiệm
quỹ tín dụng
ra cái vẻ
ra cái điều
rau an toàn
rau khủ khởi
roi cặc bò
ruộng bậc thang
rát ràn rạt
râu quai nón
ròng rọc kép
rải mành mành
rất chi là
rẻ như bèo
rối bòng bong
rừng phòng hộ
rừng sản xuất
rừng đặc dụng
sao đổi ngôi
sau đại học
sinh hoá học
sinh hoạt phí
sinh khoáng học
sinh lí học
sinh lý học
sinh thái học
sinh thực khí
sinh vật cảnh
sinh vật học
siêu hiện thực
siêu hình học
siêu liên kết
siêu lợi nhuận
siêu ngôn ngữ
siêu người mẫu
siêu tự nhiên
siêu vi khuẩn
siêu vi trùng
siêu văn bản
song tử diệp
suy dinh dưỡng
suất điện động
sách công cụ
sách giáo khoa
sán xơ mít
sáng bảnh mắt
sát sàn sạt
sân vận động
sâu cuốn lá
sâu cắn gié
sâu vòi voi
sâu đục thân
sít sìn sịt
sóng vô tuyến
sóng điện từ
sông cửu long
súng cao su
súng khai hậu
súng liên thanh
súng ngựa trời
súng phun lửa
súng tự động
sư hổ mang
sư tử biển
sư đoàn trưởng
sạch nước cản
sạch sành sanh
sếu đầu đỏ
số báo danh
số bình quân
số bị chia
số bị nhân
số bị trừ
số chính phương
số hữu tỉ
số hữu tỷ
số nguyên tố
số siêu việt
số thập phân
số tương đối
số tự nhiên
số vô tỉ
số vô tỷ
số đại số
sốt xuất huyết
sổ hộ khẩu
sổ thiên tào
sờ lên gáy
sở chỉ huy
sở giao dịch
sợi chỉ đỏ
sứ vệ sinh
sức lao động
sử quân tử
sửa chữa lớn
sửa chữa nhỏ
sửa chữa vừa
sữa ong chúa
sữa đậu nành
tam giác cân
tam giác cầu
tam giác vuông
tam giác đều
tam tam chế
tam thập lục
tam đoạn luận
tang tảng sáng
tao ngộ chiến
tham mưu trưởng
than luyện cốc
than quả bàng
than tổ ong
thanh kiểm tra
thanh thiếu nhi
thanh thiếu niên
thanh tra viên
thi trắc nghiệm
thi vấn đáp
thi vị hoá
thiên chúa giáo
thiên lí mã
thiên lý mã
thiên niên kiện
thiên niên kỉ
thiên niên kỷ
thiên văn học
thiên đầu thống
thiết giáp hạm
thiết quân luật
thiếu lâm tự
thiếu sinh quân
thoát y vũ
thoạt kì thuỷ
thoạt kỳ thuỷ
thoả thuận khung
thuyết biến hoá
thuyết biến hình
thuyết bất biến
thuyết duy danh
thuyết duy ngã
thuyết duy thực
thuyết hỗ trợ
thuyết hữu thần
thuyết luân hồi
thuyết nhân quả
